1;Almonds;7
2;Anchovies;5
3;Apple peel;1
4;Apples (Granny Smith, Red Delicious, Reinette);1
5;Apricot;1
6;Arctic char;5
7;Arugula;3
8;Bamboo shoots;3
9;Barley;8
10;Beer;9
11;Belgian endive;3
12;Bigeye tuna;5
13;Black bass;5
14;Black beans;7
15;Black plums;1
16;Black raspberries;1
17;Black tea;9
18;Blackberries;1
19;Blackberries (dried);1
20;Blueberries;1
21;Blueberries (dried);1
22;Bok choy;3
23;Broccoli;3
24;Broccoli rabe;3
25;Broccoli sprouts;3
26;Cabbage;3
27;Camu camu;8
28;Capers;3
29;Carrots;3
30;Cauliflower;3
31;Caviar (sturgeon);5
32;Celery;3
33;Chamomile tea;9
34;Chanterelle mushrooms;3
35;Cherries;1
36;Cherries (dried);1
37;Cherry tomatoes;1
38;Chestnuts;7
39;Chia seeds;8
40;Chile peppers;4
41;Chinese celery;3
42;Cockles (clam);5
43;Coffee;9
44;Collard greens;3
45;Concord grape juice;9
46;Cranberries;1
47;Cranberries (dried);1
48;Cranberry juice;9
49;Dark chocolate;11
50;Eastern oysters;5
51;Eggplant;3
52;Escarole;3
53;Fiddleheads;3
54;Fish roe (salmon);5
55;Flax seeds;8
56;Frisee;3
57;Ginseng;8
58;Goji berries;8
59;Grapes;1
60;Gray mullet;5
61;Green beans;7
62;Green tea;9
63;Hake;5
64;Halibut;5
65;John Dory (fish);5
66;Parmigiano-Reggiano;10
67;Peaches;1
68;Peas;7
69;Pecans;7
70;Peppermint;2
71;Pine nuts;7
72;Pink grapefruit;1
73;Pistachios;8
74;Plums;1
75;Pomegranate juice;9
76;Pompano;5
77;Porcini mushrooms;3
78;Pumpernickel bread;8
79;Pumpkin seeds;8
80;Puntarelle;3
81;Radicchio;3
82;Rainbow trout;5
83;Red black-skin tomatoes;1
84;Red mullet;5
85;Red wine (Cabernet, Cabernet Franc, Petit Verdot);9
86;Redfish;5
87;Romanesco;3
88;Rosemary;2
89;Rutabaga;3
90;Sage;2
91;Salmon;5
92;San Marzano tomato;1
93;Sardine;5
94;Sauerkraut;3
95;Sea bass;5
96;Sea bream;5
97;Sea cucumber;5
98;Sesame seeds;8
99;Shiitake mushrooms;3
100;Sourdough bread;8
101;Squid ink;5
102;Sunflower seeds;8
103;Tardivo di Treviso;3
104;Tomatoes;1
105;Turnips;7
106;Walnuts;8
107;White button mushrooms;3
108;Whole grains;8
109;Yogurt;10
